id,comment,validity
comment-0063,asdfgh qwrty zxcvb,False
comment-0064,i have been watching for a while and i am genuinely curious: how did you set up your streaming desk?,True
comment-0065,hey what do you use to edit your videos?,True
comment-0066,when are you doing viewer games again btw?,True
comment-0067,"been wondering all stream, who made the emotes for your channel?",True
comment-0068,😭😭,False
comment-0069,👏👏👏,False
comment-0070,not sure if someone asked already but what microphone are you using today?,True
comment-0071,i have been watching for a while and i am genuinely curious: why did you pick this game today?,True
comment-0072,🥳🎊,False
comment-0073,quick question for you: which route are you taking through this map?,True
comment-0074,"i have been trying to figure this out for myself, so i wanted to ask: how do you keep your computer cool while streaming?",True
comment-0075,not sure if someone asked already but what weapons are you running for this build?,True
comment-0076,"i missed it earlier, how much memory does your streaming computer have?",True
comment-0077,⭐🌟,False
comment-0078,random question but are you planning any streams with other creators?,True
comment-0079,i have been watching for a while and i am genuinely curious: what chat rules do your moderators usually enforce?,True
comment-0080,what snacks do you eat during long streams?,True
comment-0081,quick question for you: what character build are you going for?,True
comment-0082,yo why did you pick this game today?,True
comment-0083,"before you move on, what monitor do you use for gaming?",True
comment-0084,blargh snorf glibble,False
comment-0085,i have been watching for a while and i am genuinely curious: what game are you playing after this one?,True
comment-0086,"before you move on, what bitrate are you streaming at today?",True
comment-0087,chat keeps asking how do we join your discord server?,True
comment-0088,yo what goals are you working toward this month?,True
comment-0089,did you already say what keyboard and switches are you using?,True
comment-0090,what keyboard and switches are you using?,True
comment-0091,pog,False
comment-0092,"if you have time later, quick question: where do you post your stream highlights?",True
comment-0093,hey what goals are you working toward this month?,True
comment-0094,yo what monitor do you use for gaming?,True
comment-0095,random question but which route are you taking through this map?,True
comment-0096,did you already say did you make this stream overlay yourself?,True
comment-0097,hey what are you drinking on stream today?,True
comment-0098,"i missed it earlier, what snacks do you eat during long streams?",True
comment-0099,"been wondering all stream, what graphics settings are you playing with?",True
comment-0100,not sure if someone asked already but did you make this stream overlay yourself?,True
comment-0101,rofl,False
comment-0102,"i have been trying to figure this out for myself, so i wanted to ask: what advice would you give a new streamer?",True
comment-0103,i have been watching for a while and i am genuinely curious: how much memory does your streaming computer have?,True
comment-0104,zzxxcc vvbbnn,False
comment-0105,"before you move on, what are you drinking on stream today?",True
comment-0106,yo where did you get the decorations behind you?,True
comment-0107,not sure if someone asked already but what mouse sensitivity do you play on?,True
comment-0108,so good,False
comment-0109,"before you move on, what headphones are you wearing on stream?",True
comment-0110,"been wondering all stream, what keyboard and switches are you using?",True
comment-0111,quick question for you: what chat rules do your moderators usually enforce?,True
comment-0112,yo who made the emotes for your channel?,True
comment-0113,wait did you make this stream overlay yourself?,True
comment-0114,what drive do you save your recordings on btw?,True
comment-0115,"been wondering all stream, how do you keep your computer cool while streaming?",True
comment-0116,not sure if someone asked already but how did you set up your streaming desk?,True
comment-0117,yo what character build are you going for?,True
comment-0118,random question but what graphics card is in your computer?,True
comment-0119,what microphone are you using today?,True
comment-0120,what days do you normally go live?,True
comment-0121,did you already say where do you find music that is safe to stream?,True
comment-0122,rofl,False
comment-0123,what character build are you going for btw?,True
comment-0124,did you already say which route are you taking through this map?,True
comment-0125,yo what are you drinking on stream today?,True
comment-0126,"been wondering all stream, what processor are you gaming and streaming on?",True
comment-0127,🎮🎮,False
comment-0128,"if you have time later, quick question: are you planning any streams with other creators?",True
comment-0129,"i missed it earlier, what do you use to edit your videos?",True
comment-0130,12345 67890,False
comment-0131,"before you move on, where do you find music that is safe to stream?",True
comment-0132,"before you move on, where did you get the decorations behind you?",True
comment-0133,i have been watching for a while and i am genuinely curious: how do you keep your computer cool while streaming?,True
comment-0134,i have been watching for a while and i am genuinely curious: what goals are you working toward this month?,True
comment-0135,not sure if someone asked already but do you warm up your voice before streaming?,True
comment-0136,pog,False
comment-0137,"been wondering all stream, what are you drinking on stream today?",True
comment-0138,random question but do you warm up your voice before streaming?,True
comment-0139,not sure if someone asked already but are you planning any streams with other creators?,True
comment-0140,🤯🤯,False
comment-0141,❤️❤️❤️,False
comment-0142,that was wild,False
comment-0143,are you entering any tournaments for this game?,True
comment-0144,random question but what character build are you going for?,True
comment-0145,random question but where did you get the decorations behind you?,True
comment-0146,"if you have time later, quick question: what camera are you using right now?",True
comment-0147,chat keeps asking what snacks do you eat during long streams?,True
comment-0148,😮😮,False
comment-0149,"been wondering all stream, what advice would you give a new streamer?",True
comment-0150,qweoiu asdjk zmxn,False
comment-0151,yo do you warm up your voice before streaming?,True
comment-0152,"before you move on, what upload speed do you stream with?",True
comment-0153,🚀🚀,False
comment-0154,wait why did you pick this game today?,True
comment-0155,"i missed it earlier, what headphones are you wearing on stream?",True
comment-0156,"i have been trying to figure this out for myself, so i wanted to ask: what upload speed do you stream with?",True
comment-0157,!!! ??? ...,False
comment-0158,rofl,False
comment-0159,💯💯,False
comment-0160,quick question for you: what camera are you using right now?,True
comment-0161,i have been watching for a while and i am genuinely curious: which route are you taking through this map?,True
comment-0162,"if you have time later, quick question: which route are you taking through this map?",True
comment-0163,hey how do we join your discord server?,True
comment-0164,what are you drinking on stream today?,True
comment-0165,random question but what headphones are you wearing on stream?,True
comment-0166,"if you have time later, quick question: what microphone are you using today?",True
comment-0167,"been wondering all stream, what goals are you working toward this month?",True
comment-0168,lel,False
comment-0169,"before you move on, who made the emotes for your channel?",True
comment-0170,"i missed it earlier, what mouse sensitivity do you play on?",True
comment-0171,zzxxcc vvbbnn,False
comment-0172,why did you pick this game today btw?,True
comment-0173,yo what microphone are you using today?,True
comment-0174,quick question for you: what snacks do you eat during long streams?,True
comment-0175,wait what character build are you going for?,True
comment-0176,not sure if someone asked already but what do you use to edit your videos?,True
comment-0177,i have been watching for a while and i am genuinely curious: what headphones are you wearing on stream?,True
comment-0178,🎉🎉,False
comment-0179,quick question for you: when are you doing another charity stream?,True
comment-0180,"before you move on, what graphics card is in your computer?",True
comment-0181,what audio interface is your microphone plugged into?,True
comment-0182,"i missed it earlier, where did you get your stream alert sounds?",True
comment-0183,⭐🌟,False
comment-0184,pog,False
comment-0185,random question but what microphone are you using today?,True
comment-0186,not sure if someone asked already but how do we join your discord server?,True
comment-0187,what processor are you gaming and streaming on?,True
comment-0188,🤣🤣,False
comment-0189,so good,False
comment-0190,random question but what camera are you using right now?,True
comment-0191,asdfgh qwrty zxcvb,False
comment-0192,did you already say how much memory does your streaming computer have?,True
comment-0193,random question but who made the emotes for your channel?,True
comment-0194,"been wondering all stream, what weapons are you running for this build?",True
comment-0195,yo how much memory does your streaming computer have?,True
comment-0196,hey how did you set up your streaming desk?,True
comment-0197,nice,False
comment-0198,wait how did you set up your streaming desk?,True
comment-0199,random question but what lights are you using for the stream?,True
comment-0200,"before you move on, what advice would you give a new streamer?",True
comment-0201,chat keeps asking what playlist is playing in the background?,True
comment-0202,"been wondering all stream, how do we join your discord server?",True
comment-0203,wait what advice would you give a new streamer?,True
comment-0204,chat keeps asking how often do you take breaks while streaming?,True
comment-0205,⭐🌟,False
comment-0206,hey what advice would you give a new streamer?,True
comment-0207,yo what computer upgrade helped your stream most?,True
comment-0208,"if you have time later, quick question: what game are you playing after this one?",True
comment-0209,did you already say what playlist is playing in the background?,True
comment-0210,wait what chair do you use for long streams?,True
comment-0211,"i missed it earlier, what graphics card is in your computer?",True
comment-0212,how are you planning to beat this boss?,True
comment-0213,how do you organize all your OBS scenes btw?,True
comment-0214,zzxxcc vvbbnn,False
comment-0215,what processor are you gaming and streaming on btw?,True
comment-0216,how are you planning to beat this boss btw?,True
comment-0217,wait which route are you taking through this map?,True
comment-0218,"i have been trying to figure this out for myself, so i wanted to ask: how do we join your discord server?",True
comment-0219,"before you move on, how often do you take breaks while streaming?",True
comment-0220,quick question for you: what drive do you save your recordings on?,True
comment-0221,"i have been trying to figure this out for myself, so i wanted to ask: how are you planning to beat this boss?",True
comment-0222,🙌🙌,False
comment-0223,did you already say what monitor do you use for gaming?,True
comment-0224,"before you move on, what processor are you gaming and streaming on?",True
comment-0225,😂🔥,False
comment-0226,wait where do you post your stream highlights?,True
comment-0227,chat keeps asking what difficulty are you playing this on?,True
comment-0228,🙌🙌,False
comment-0229,what drive do you save your recordings on?,True
comment-0230,💀💀💀,False
comment-0231,"i missed it earlier, what audio interface is your microphone plugged into?",True
comment-0232,i have been watching for a while and i am genuinely curious: what processor are you gaming and streaming on?,True
comment-0233,yo what helped your channel grow the most?,True
comment-0234,did you already say what chair do you use for long streams?,True
comment-0235,yo are you entering any tournaments for this game?,True
comment-0236,how do you organize all your OBS scenes?,True
comment-0237,i have been watching for a while and i am genuinely curious: what character build are you going for?,True
comment-0238,i have been watching for a while and i am genuinely curious: how are you planning to beat this boss?,True
comment-0239,yo where did you get your stream alert sounds?,True
comment-0240,random question but what audio interface is your microphone plugged into?,True
comment-0241,random question but how did you set up your streaming desk?,True
comment-0242,😭😭,False
comment-0243,wait how do you keep your computer cool while streaming?,True
comment-0244,😭😭,False
comment-0245,wait what headphones are you wearing on stream?,True
comment-0246,what helped your channel grow the most?,True
comment-0247,"been wondering all stream, what do you use to edit your videos?",True
comment-0248,when are you doing another charity stream btw?,True
comment-0249,"been wondering all stream, what audio interface is your microphone plugged into?",True
comment-0250,hello chat,False
comment-0251,asdfgh qwrty zxcvb,False
comment-0252,did you already say what audio interface is your microphone plugged into?,True
comment-0253,did you already say how do you organize all your OBS scenes?,True
comment-0254,🙌🙌,False
comment-0255,not sure if someone asked already but what monitor do you use for gaming?,True
comment-0256,did you already say when are you doing viewer games again?,True
comment-0257,wait do you warm up your voice before streaming?,True
comment-0258,"i missed it earlier, what difficulty are you playing this on?",True
comment-0259,what controller settings are you using here?,True
comment-0260,"i have been trying to figure this out for myself, so i wanted to ask: what snacks do you eat during long streams?",True
comment-0261,what difficulty are you playing this on btw?,True
comment-0262,wait what audio interface is your microphone plugged into?,True
comment-0263,gg everyone,False
comment-0264,"before you move on, are you planning any streams with other creators?",True
comment-0265,did you make this stream overlay yourself?,True
comment-0266,😂🔥,False
comment-0267,"been wondering all stream, when are you doing viewer games again?",True
comment-0268,"i missed it earlier, what chat rules do your moderators usually enforce?",True
comment-0269,not sure if someone asked already but why did you pick this game today?,True
comment-0270,"i missed it earlier, what days do you normally go live?",True
comment-0271,hey what chat rules do your moderators usually enforce?,True
comment-0272,hello chat,False
comment-0273,i have been watching for a while and i am genuinely curious: are you entering any tournaments for this game?,True
comment-0274,random question but how much memory does your streaming computer have?,True
comment-0275,"before you move on, do you warm up your voice before streaming?",True
comment-0276,hello chat,False
comment-0277,👏👏👏,False
comment-0278,what chat rules do your moderators usually enforce btw?,True
comment-0279,"before you move on, what character build are you going for?",True
comment-0280,"i missed it earlier, when are you doing viewer games again?",True
comment-0281,what controller settings are you using here btw?,True
comment-0282,random question but when are you doing viewer games again?,True
comment-0283,"i have been trying to figure this out for myself, so i wanted to ask: what drive do you save your recordings on?",True
comment-0284,"if you have time later, quick question: how much memory does your streaming computer have?",True
comment-0285,chat keeps asking what camera are you using right now?,True
comment-0286,⭐🌟,False
comment-0287,how much memory does your streaming computer have btw?,True
comment-0288,blargh snorf glibble,False
comment-0289,🤯🤯,False
comment-0290,12345 67890,False
comment-0291,random question but where did you get your stream alert sounds?,True
comment-0292,"before you move on, what controller settings are you using here?",True
comment-0293,wait how much memory does your streaming computer have?,True
comment-0294,hey what weapons are you running for this build?,True
comment-0295,"before you move on, when are you doing another charity stream?",True
comment-0296,how do we join your discord server btw?,True
comment-0297,i have been watching for a while and i am genuinely curious: how do we join your discord server?,True
comment-0298,not sure if someone asked already but what advice would you give a new streamer?,True
comment-0299,quick question for you: what playlist is playing in the background?,True
comment-0300,what helped your channel grow the most btw?,True
comment-0301,💯💯,False
comment-0302,hey what character build are you going for?,True
comment-0303,gg everyone,False
comment-0304,🎮🎮,False
comment-0305,hey how much memory does your streaming computer have?,True
comment-0306,where did you get the decorations behind you?,True
comment-0307,"if you have time later, quick question: what keyboard and switches are you using?",True
comment-0308,😮😮,False
comment-0309,random question but are you entering any tournaments for this game?,True
comment-0310,yo how do you keep your computer cool while streaming?,True
comment-0311,did you already say how did you set up your streaming desk?,True
comment-0312,❤️❤️❤️,False
comment-0313,🚀🚀,False
comment-0314,random question but what goals are you working toward this month?,True
comment-0315,not sure if someone asked already but what headphones are you wearing on stream?,True
comment-0316,yo which route are you taking through this map?,True
comment-0317,which route are you taking through this map?,True
comment-0318,chat keeps asking where do you find music that is safe to stream?,True
comment-0319,"if you have time later, quick question: what graphics card is in your computer?",True
comment-0320,wait what helped your channel grow the most?,True
comment-0321,quick question for you: how did you set up your streaming desk?,True
comment-0322,not sure if someone asked already but where did you get your stream alert sounds?,True
comment-0323,wait what drive do you save your recordings on?,True
comment-0324,hey how do you keep your computer cool while streaming?,True
comment-0325,zzxxcc vvbbnn,False
comment-0326,did you already say what graphics card is in your computer?,True
comment-0327,random question but what monitor do you use for gaming?,True
comment-0328,what difficulty are you playing this on?,True
comment-0329,"i have been trying to figure this out for myself, so i wanted to ask: what character build are you going for?",True
comment-0330,"i have been trying to figure this out for myself, so i wanted to ask: how often do you take breaks while streaming?",True
comment-0331,did you already say what graphics settings are you playing with?,True
comment-0332,quick question for you: how much memory does your streaming computer have?,True
comment-0333,wait what controller settings are you using here?,True
comment-0334,love this game,False
comment-0335,hey what upload speed do you stream with?,True
comment-0336,"if you have time later, quick question: what graphics settings are you playing with?",True
comment-0337,chat keeps asking what helped your channel grow the most?,True
comment-0338,"been wondering all stream, what chat rules do your moderators usually enforce?",True
comment-0339,"if you have time later, quick question: did you make this stream overlay yourself?",True
comment-0340,"i have been trying to figure this out for myself, so i wanted to ask: what do you use to edit your videos?",True
comment-0341,chat keeps asking what chair do you use for long streams?,True
comment-0342,"i have been trying to figure this out for myself, so i wanted to ask: what graphics card is in your computer?",True
comment-0343,chat keeps asking what chat rules do your moderators usually enforce?,True
comment-0344,!!! ??? ...,False
comment-0345,"i have been trying to figure this out for myself, so i wanted to ask: what chat rules do your moderators usually enforce?",True
comment-0346,"i have been trying to figure this out for myself, so i wanted to ask: what camera are you using right now?",True
comment-0347,yo how are you planning to beat this boss?,True
comment-0348,"if you have time later, quick question: what processor are you gaming and streaming on?",True
comment-0349,not sure if someone asked already but what are you drinking on stream today?,True
comment-0350,"been wondering all stream, what game are you playing after this one?",True
comment-0351,wait what upload speed do you stream with?,True
comment-0352,wow,False
comment-0353,"i missed it earlier, what advice would you give a new streamer?",True
comment-0354,i have been watching for a while and i am genuinely curious: what difficulty are you playing this on?,True
comment-0355,"been wondering all stream, how often do you take breaks while streaming?",True
comment-0356,"been wondering all stream, what headphones are you wearing on stream?",True
comment-0357,random question but what graphics settings are you playing with?,True
comment-0358,"i missed it earlier, what playlist is playing in the background?",True
comment-0359,chat keeps asking what bitrate are you streaming at today?,True
comment-0360,hey what difficulty are you playing this on?,True
comment-0361,"before you move on, what goals are you working toward this month?",True
comment-0362,yo how do you organize all your OBS scenes?,True
comment-0363,i have been watching for a while and i am genuinely curious: what mouse sensitivity do you play on?,True
comment-0364,not sure if someone asked already but what character build are you going for?,True
comment-0365,asdfgh qwrty zxcvb,False
comment-0366,love this game,False
comment-0367,"been wondering all stream, which route are you taking through this map?",True
comment-0368,are you planning any streams with other creators btw?,True
comment-0369,very cool stream,False
comment-0370,love this game,False
comment-0371,hello chat,False
comment-0372,"before you move on, what chat rules do your moderators usually enforce?",True
comment-0373,"before you move on, what days do you normally go live?",True
comment-0374,yo what camera are you using right now?,True
comment-0375,quick question for you: what bitrate are you streaming at today?,True
comment-0376,"been wondering all stream, did you make this stream overlay yourself?",True
comment-0377,yo what chat rules do your moderators usually enforce?,True
comment-0378,"i missed it earlier, how do you keep your computer cool while streaming?",True
comment-0379,wait what monitor do you use for gaming?,True
comment-0380,blargh snorf glibble,False
comment-0381,not sure if someone asked already but what goals are you working toward this month?,True
comment-0382,not sure if someone asked already but what audio interface is your microphone plugged into?,True
comment-0383,what graphics settings are you playing with btw?,True
comment-0384,i have been watching for a while and i am genuinely curious: what controller settings are you using here?,True
comment-0385,"been wondering all stream, what lights are you using for the stream?",True
comment-0386,hey which route are you taking through this map?,True
comment-0387,yo what controller settings are you using here?,True
comment-0388,"if you have time later, quick question: where did you get your stream alert sounds?",True
comment-0389,wait how are you planning to beat this boss?,True
comment-0390,12345 67890,False
comment-0391,👀👀,False
comment-0392,quick question for you: where did you get your stream alert sounds?,True
comment-0393,12345 67890,False
comment-0394,quick question for you: what weapons are you running for this build?,True
comment-0395,did you already say what camera are you using right now?,True
comment-0396,"i missed it earlier, what lights are you using for the stream?",True
comment-0397,"i missed it earlier, where do you post your stream highlights?",True
comment-0398,"i have been trying to figure this out for myself, so i wanted to ask: which route are you taking through this map?",True
comment-0399,do you warm up your voice before streaming btw?,True
comment-0400,chat keeps asking when are you doing viewer games again?,True
comment-0401,did you already say who made the emotes for your channel?,True
comment-0402,quick question for you: who made the emotes for your channel?,True
comment-0403,what upload speed do you stream with?,True
comment-0404,😭😭,False
comment-0405,wait what graphics settings are you playing with?,True
comment-0406,hey what playlist is playing in the background?,True
comment-0407,👀👀,False
comment-0408,"been wondering all stream, what character build are you going for?",True
comment-0409,did you already say what days do you normally go live?,True
comment-0410,did you already say how often do you take breaks while streaming?,True
comment-0411,i have been watching for a while and i am genuinely curious: do you warm up your voice before streaming?,True
comment-0412,"i have been trying to figure this out for myself, so i wanted to ask: what playlist is playing in the background?",True
comment-0413,lol,False
comment-0414,"i missed it earlier, who made the emotes for your channel?",True
comment-0415,🥳🎊,False
comment-0416,"if you have time later, quick question: what controller settings are you using here?",True
comment-0417,🙌🙌,False
comment-0418,"if you have time later, quick question: what goals are you working toward this month?",True
comment-0419,did you already say do you warm up your voice before streaming?,True
comment-0420,what chat rules do your moderators usually enforce?,True
comment-0421,what headphones are you wearing on stream?,True
comment-0422,wait where do you find music that is safe to stream?,True
comment-0423,👀👀,False
comment-0424,🤣🤣,False
comment-0425,"if you have time later, quick question: how do you organize all your OBS scenes?",True
comment-0426,did you make this stream overlay yourself btw?,True
comment-0427,wait how do you organize all your OBS scenes?,True
comment-0428,hey what controller settings are you using here?,True
comment-0429,"if you have time later, quick question: what helped your channel grow the most?",True
comment-0430,"if you have time later, quick question: what do you use to edit your videos?",True
comment-0431,quick question for you: what goals are you working toward this month?,True
comment-0432,✅✅✅,False
comment-0433,🔥🔥🔥🔥,False
comment-0434,yo what keyboard and switches are you using?,True
comment-0435,👏👏👏,False
comment-0436,yo how do we join your discord server?,True
comment-0437,lmao,False
comment-0438,not sure if someone asked already but how often do you take breaks while streaming?,True
comment-0439,🎉🎉,False
comment-0440,"before you move on, what audio interface is your microphone plugged into?",True
comment-0441,"before you move on, how much memory does your streaming computer have?",True
comment-0442,wait what are you drinking on stream today?,True
comment-0443,quick question for you: what advice would you give a new streamer?,True
comment-0444,"before you move on, what mouse sensitivity do you play on?",True
comment-0445,"been wondering all stream, do you warm up your voice before streaming?",True
comment-0446,"if you have time later, quick question: how are you planning to beat this boss?",True
comment-0447,"i have been trying to figure this out for myself, so i wanted to ask: what keyboard and switches are you using?",True
comment-0448,what advice would you give a new streamer?,True
comment-0449,random question but what do you use to edit your videos?,True
comment-0450,"i missed it earlier, are you planning any streams with other creators?",True
comment-0451,"if you have time later, quick question: where did you get the decorations behind you?",True
comment-0452,yo what processor are you gaming and streaming on?,True
comment-0453,"i have been trying to figure this out for myself, so i wanted to ask: what weapons are you running for this build?",True
comment-0454,nice,False
comment-0455,wait what game are you playing after this one?,True
comment-0456,quick question for you: where do you find music that is safe to stream?,True
comment-0457,so good,False
comment-0458,yo what do you use to edit your videos?,True
comment-0459,not sure if someone asked already but what graphics settings are you playing with?,True
comment-0460,🙌🙌,False
comment-0461,"before you move on, are you entering any tournaments for this game?",True
comment-0462,🏆🏆,False
comment-0463,did you already say how are you planning to beat this boss?,True
comment-0464,hey what graphics card is in your computer?,True
comment-0465,"if you have time later, quick question: what mouse sensitivity do you play on?",True
comment-0466,wow,False
comment-0467,"been wondering all stream, what difficulty are you playing this on?",True
comment-0468,are you entering any tournaments for this game btw?,True
comment-0469,🏆🏆,False
comment-0470,not sure if someone asked already but how do you organize all your OBS scenes?,True
comment-0471,"been wondering all stream, what chair do you use for long streams?",True
comment-0472,yo what graphics card is in your computer?,True
comment-0473,chat keeps asking are you entering any tournaments for this game?,True
comment-0474,hey what microphone are you using today?,True
comment-0475,"if you have time later, quick question: what lights are you using for the stream?",True
comment-0476,"i have been trying to figure this out for myself, so i wanted to ask: what microphone are you using today?",True
comment-0477,hey what graphics settings are you playing with?,True
comment-0478,i have been watching for a while and i am genuinely curious: what monitor do you use for gaming?,True
comment-0479,😍✨,False
comment-0480,😮😮,False
comment-0481,how did you set up your streaming desk?,True
comment-0482,"before you move on, when are you doing viewer games again?",True
comment-0483,quick question for you: how do you keep your computer cool while streaming?,True
comment-0484,did you already say where did you get the decorations behind you?,True
comment-0485,💯💯,False
comment-0486,what goals are you working toward this month?,True
comment-0487,did you already say why did you pick this game today?,True
comment-0488,i have been watching for a while and i am genuinely curious: where do you post your stream highlights?,True
comment-0489,🥳🎊,False
comment-0490,what monitor do you use for gaming?,True
comment-0491,not sure if someone asked already but what snacks do you eat during long streams?,True
comment-0492,random question but what computer upgrade helped your stream most?,True
comment-0493,lel,False
comment-0494,yo what headphones are you wearing on stream?,True
comment-0495,"i missed it earlier, what weapons are you running for this build?",True
comment-0496,quick question for you: what processor are you gaming and streaming on?,True
comment-0497,quick question for you: what microphone are you using today?,True
comment-0498,yo what difficulty are you playing this on?,True
comment-0499,💀💀💀,False
comment-0500,not sure if someone asked already but what lights are you using for the stream?,True
comment-0501,hey do you warm up your voice before streaming?,True
comment-0502,random question but what playlist is playing in the background?,True
comment-0503,😮😮,False
comment-0504,random question but what advice would you give a new streamer?,True
comment-0505,12345 67890,False
comment-0506,nice,False
comment-0507,🤯🤯,False
comment-0508,wow,False
comment-0509,not sure if someone asked already but how are you planning to beat this boss?,True
comment-0510,hey what game are you playing after this one?,True
comment-0511,wait are you planning any streams with other creators?,True
comment-0512,not sure if someone asked already but how much memory does your streaming computer have?,True
comment-0513,"i missed it earlier, what keyboard and switches are you using?",True
comment-0514,"i missed it earlier, what chair do you use for long streams?",True
comment-0515,"been wondering all stream, why did you pick this game today?",True
comment-0516,"i have been trying to figure this out for myself, so i wanted to ask: what game are you playing after this one?",True
comment-0517,chat keeps asking what keyboard and switches are you using?,True
comment-0518,quick question for you: what days do you normally go live?,True
comment-0519,chat keeps asking where did you get the decorations behind you?,True
comment-0520,random question but how often do you take breaks while streaming?,True
comment-0521,wait where did you get the decorations behind you?,True
comment-0522,not sure if someone asked already but what graphics card is in your computer?,True
comment-0523,"been wondering all stream, what camera are you using right now?",True
comment-0524,"i missed it earlier, what game are you playing after this one?",True
comment-0525,"before you move on, what helped your channel grow the most?",True
comment-0526,"been wondering all stream, what computer upgrade helped your stream most?",True
comment-0527,hello chat,False
comment-0528,🏆🏆,False
comment-0529,not sure if someone asked already but how do you keep your computer cool while streaming?,True
comment-0530,"i missed it earlier, what character build are you going for?",True
comment-0531,"if you have time later, quick question: what monitor do you use for gaming?",True
comment-0532,chat keeps asking how are you planning to beat this boss?,True
comment-0533,not sure if someone asked already but what chat rules do your moderators usually enforce?,True
comment-0534,😍✨,False
comment-0535,what game are you playing after this one?,True
comment-0536,lol,False
comment-0537,wait what chat rules do your moderators usually enforce?,True
comment-0538,"if you have time later, quick question: what upload speed do you stream with?",True
comment-0539,what headphones are you wearing on stream btw?,True
comment-0540,blargh snorf glibble,False
comment-0541,🎉🎉,False
comment-0542,not sure if someone asked already but when are you doing another charity stream?,True
comment-0543,i have been watching for a while and i am genuinely curious: when are you doing viewer games again?,True
comment-0544,i have been watching for a while and i am genuinely curious: what do you use to edit your videos?,True
comment-0545,i have been watching for a while and i am genuinely curious: when are you doing another charity stream?,True
comment-0546,"been wondering all stream, what drive do you save your recordings on?",True
comment-0547,chat keeps asking what graphics card is in your computer?,True
comment-0548,yo what game are you playing after this one?,True
comment-0549,"i have been trying to figure this out for myself, so i wanted to ask: what are you drinking on stream today?",True
comment-0550,i have been watching for a while and i am genuinely curious: who made the emotes for your channel?,True
comment-0551,"been wondering all stream, where did you get the decorations behind you?",True
comment-0552,🔥🔥🔥🔥,False
comment-0553,where did you get the decorations behind you btw?,True
comment-0554,chat keeps asking what upload speed do you stream with?,True
comment-0555,"i have been trying to figure this out for myself, so i wanted to ask: where did you get the decorations behind you?",True
